カテゴリ	ファイル	日本語文言	想定翻訳キー	優先度
admin-manual	views/help/admin_manual.php:185	<tr><td><strong>ユーザー管理</strong></td><td>ユーザーの追加・編集・削除、CSV インポート</td></tr>	admin_manual.admin_manual.l185	P1
admin-manual	views/help/admin_manual.php:186	<tr><td><strong>組織管理</strong></td><td>組織（部署・課）の構造設定とユーザー所属の管理</td></tr>	admin_manual.admin_manual.l186	P1
admin-manual	views/help/admin_manual.php:187	<tr><td><strong>ワークフロー管理</strong></td><td>申請テンプレートの作成・編集、承認ルートの設定</td></tr>	admin_manual.admin_manual.l187	P1
admin-manual	views/help/admin_manual.php:188	<tr><td><strong>施設管理</strong></td><td>会議室等の施設の追加・編集・削除</td></tr>	admin_manual.admin_manual.l188	P1
admin-manual	views/help/admin_manual.php:189	<tr><td><strong>掲示板カテゴリ</strong></td><td>掲示板のカテゴリ管理</td></tr>	admin_manual.admin_manual.l189	P1
admin-manual	views/help/admin_manual.php:190	<tr><td><strong>システム設定</strong></td><td>アプリケーション名、会社名、メール設定など</td></tr>	admin_manual.admin_manual.l190	P1
admin-manual	views/help/admin_manual.php:191	<tr><td><strong>CSV インポート</strong></td><td>ユーザーや組織の一括登録</td></tr>	admin_manual.admin_manual.l191	P1
admin-manual	views/help/admin_manual.php:192	<tr><td><strong>日報管理</strong></td><td>テンプレート配布、分析マスタ管理、予実確認</td></tr>	admin_manual.admin_manual.l192	P1
admin-manual	views/help/admin_manual.php:193	<tr><td><strong>WEBデータベース管理</strong></td><td>業務アプリ定義、リレーション設定、ビュー共有設計</td></tr>	admin_manual.admin_manual.l193	P1
admin-manual	views/help/admin_manual.php:198	<strong><i class="fas fa-info-circle me-1"></i>情報：</strong>	admin_manual.admin_manual.l198	P1
admin-manual	views/help/admin_manual.php:199	管理者メニューは、管理者権限（<code>admin</code> ロール）を持つユーザーにのみ表示されます。一般ユーザーにはこれらのメニューは表示されません。	admin_manual.admin_manual.l199	P1
admin-manual	views/help/admin_manual.php:210	<h2>2. ユーザー管理</h2>	admin_manual.admin_manual.l210	P1
admin-manual	views/help/admin_manual.php:213	<p>ユーザー管理画面では、システムを利用するユーザーの追加・編集・削除を行うことができます。</p>	admin_manual.admin_manual.l213	P1
admin-manual	views/help/admin_manual.php:215	<h4>ユーザーの追加</h4>	admin_manual.admin_manual.l215	P1
admin-manual	views/help/admin_manual.php:216	<div class="manual-step"><span class="manual-step-num">1</span><span class="manual-step-text">管理者メニューから「ユーザー管理」を選択してください。</span></div>	admin_manual.admin_manual.l216	P1
admin-manual	views/help/admin_manual.php:217	<div class="manual-step"><span class="manual-step-num">2</span><span class="manual-step-text">「新規ユーザー追加」ボタンをクリックしてください。</span></div>	admin_manual.admin_manual.l217	P1
admin-manual	views/help/admin_manual.php:218	<div class="manual-step"><span class="manual-step-num">3</span><span class="manual-step-text">必要な情報を入力してください。</span></div>	admin_manual.admin_manual.l218	P1
admin-manual	views/help/admin_manual.php:219	<div class="manual-step"><span class="manual-step-num">4</span><span class="manual-step-text">「保存」ボタンをクリックして登録を完了してください。</span></div>	admin_manual.admin_manual.l219	P1
admin-manual	views/help/admin_manual.php:221	<h4>入力項目</h4>	admin_manual.admin_manual.l221	P1
admin-manual	views/help/admin_manual.php:225	<th style="width: 160px;">項目</th>	admin_manual.admin_manual.l225	P1
admin-manual	views/help/admin_manual.php:226	<th>説明</th>	admin_manual.admin_manual.l226	P1
admin-manual	views/help/admin_manual.php:227	<th style="width: 80px;">必須</th>	admin_manual.admin_manual.l227	P1
admin-manual	views/help/admin_manual.php:231	<tr><td><strong>ログイン ID</strong></td><td>半角英数字。システム内で一意である必要があります。</td><td class="text-center">必須</td></tr>	admin_manual.admin_manual.l231	P1
admin-manual	views/help/admin_manual.php:232	<tr><td><strong>パスワード</strong></td><td>8 文字以上を推奨いたします。</td><td class="text-center">必須</td></tr>	admin_manual.admin_manual.l232	P1
admin-manual	views/help/admin_manual.php:233	<tr><td><strong>表示名</strong></td><td>システム上に表示されるお名前です。</td><td class="text-center">必須</td></tr>	admin_manual.admin_manual.l233	P1
admin-manual	views/help/admin_manual.php:234	<tr><td><strong>メールアドレス</strong></td><td>通知の送信先となります。</td><td class="text-center">任意</td></tr>	admin_manual.admin_manual.l234	P1
admin-manual	views/help/admin_manual.php:235	<tr><td><strong>権限</strong></td><td>「管理者」または「一般ユーザー」を選択してください。</td><td class="text-center">必須</td></tr>	admin_manual.admin_manual.l235	P1
admin-manual	views/help/admin_manual.php:236	<tr><td><strong>所属組織</strong></td><td>所属する部署・課を選択してください。</td><td class="text-center">任意</td></tr>	admin_manual.admin_manual.l236	P1
admin-manual	views/help/admin_manual.php:240	<h4>ユーザーの編集</h4>	admin_manual.admin_manual.l240	P1
admin-manual	views/help/admin_manual.php:241	<p>ユーザー一覧画面で対象のユーザーの「編集」ボタンをクリックすると、登録情報を変更できます。パスワード欄を空欄にした場合、パスワードは変更されません。</p>	admin_manual.admin_manual.l241	P1
admin-manual	views/help/admin_manual.php:243	<h4>ユーザーの削除</h4>	admin_manual.admin_manual.l243	P1
admin-manual	views/help/admin_manual.php:244	<p>ユーザー一覧画面で対象のユーザーの「削除」ボタンをクリックしてください。確認ダイアログが表示されますので、問題なければ「削除」を選択してください。</p>	admin_manual.admin_manual.l244	P1
admin-manual	views/help/admin_manual.php:247	<strong><i class="fas fa-exclamation-triangle me-1"></i>注意：</strong>	admin_manual.admin_manual.l247	P1
admin-manual	views/help/admin_manual.php:248	ユーザーを削除すると、そのユーザーが作成したデータ（スケジュール、メッセージなど）にも影響が及ぶ場合がございます。削除前に十分ご確認ください。ステータスを「無効」に変更することで、データを保持したまま利用を停止させることも可能です。	admin_manual.admin_manual.l248	P1
admin-manual	views/help/admin_manual.php:251	<h4>CSV 一括インポートによるユーザー登録</h4>	admin_manual.admin_manual.l251	P1
admin-manual	views/help/admin_manual.php:252	<p>多数のユーザーを一括で登録する場合は、CSV インポート機能をご利用ください。詳細は「<a href="#sec-csv-import">8. CSV 一括インポート</a>」をご参照ください。</p>	admin_manual.admin_manual.l252	P1
admin-manual	views/help/admin_manual.php:262	<h2>3. 組織管理</h2>	admin_manual.admin_manual.l262	P1
admin-manual	views/help/admin_manual.php:265	<p>組織管理画面では、会社の部署や課などの組織構造を設定し、各ユーザーの所属を管理することができます。</p>	admin_manual.admin_manual.l265	P1
admin-manual	views/help/admin_manual.php:267	<h4>組織の親子構造</h4>	admin_manual.admin_manual.l267	P1
admin-manual	views/help/admin_manual.php:268	<p>組織は親子関係（ツリー構造）で管理されます。例えば、以下のような構造を作成できます。</p>	admin_manual.admin_manual.l268	P1
admin-manual	views/help/admin_manual.php:270	<pre style="margin:0;white-space:pre-wrap;color:#f8f8f2;">会社	admin_manual.admin_manual.l270	P1
admin-manual	views/help/admin_manual.php:271	├── 営業部	admin_manual.admin_manual.l271	P1
admin-manual	views/help/admin_manual.php:272	│   ├── 営業第一課	admin_manual.admin_manual.l272	P1
admin-manual	views/help/admin_manual.php:273	│   └── 営業第二課	admin_manual.admin_manual.l273	P1
admin-manual	views/help/admin_manual.php:274	├── 開発部	admin_manual.admin_manual.l274	P1
admin-manual	views/help/admin_manual.php:275	│   ├── システム開発課	admin_manual.admin_manual.l275	P1
admin-manual	views/help/admin_manual.php:276	│   └── インフラ課	admin_manual.admin_manual.l276	P1
admin-manual	views/help/admin_manual.php:277	└── 総務部	admin_manual.admin_manual.l277	P1
admin-manual	views/help/admin_manual.php:278	├── 人事課	admin_manual.admin_manual.l278	P1
admin-manual	views/help/admin_manual.php:279	└── 経理課</pre>	admin_manual.admin_manual.l279	P1
admin-manual	views/help/admin_manual.php:282	<h4>組織の追加</h4>	admin_manual.admin_manual.l282	P1
admin-manual	views/help/admin_manual.php:283	<div class="manual-step"><span class="manual-step-num">1</span><span class="manual-step-text">管理者メニューから「組織管理」を選択してください。</span></div>	admin_manual.admin_manual.l283	P1
admin-manual	views/help/admin_manual.php:284	<div class="manual-step"><span class="manual-step-num">2</span><span class="manual-step-text">「新規組織追加」ボタンをクリックしてください。</span></div>	admin_manual.admin_manual.l284	P1
admin-manual	views/help/admin_manual.php:285	<div class="manual-step"><span class="manual-step-num">3</span><span class="manual-step-text">組織名を入力し、親組織を選択してください（最上位の組織の場合は「なし」を選択）。</span></div>	admin_manual.admin_manual.l285	P1
admin-manual	views/help/admin_manual.php:286	<div class="manual-step"><span class="manual-step-num">4</span><span class="manual-step-text">「保存」をクリックして登録を完了してください。</span></div>	admin_manual.admin_manual.l286	P1
admin-manual	views/help/admin_manual.php:288	<h4>ユーザーの所属設定</h4>	admin_manual.admin_manual.l288	P1
admin-manual	views/help/admin_manual.php:289	<p>ユーザーの所属組織は、以下の方法で設定できます。</p>	admin_manual.admin_manual.l289	P1
admin-manual	views/help/admin_manual.php:291	<li><strong>ユーザー編集画面</strong>から所属組織を選択する</li>	admin_manual.admin_manual.l291	P1
admin-manual	views/help/admin_manual.php:292	<li><strong>CSV インポート</strong>で所属組織を指定して一括登録する</li>	admin_manual.admin_manual.l292	P1
admin-manual	views/help/admin_manual.php:296	<strong><i class="fas fa-lightbulb me-1"></i>ヒント：</strong>	admin_manual.admin_manual.l296	P1
admin-manual	views/help/admin_manual.php:297	組織構造は、スケジュールの表示や掲示板の閲覧範囲などにも影響いたします。実際の組織体制に合わせて正確に設定してください。	admin_manual.admin_manual.l297	P1
admin-manual	views/help/admin_manual.php:308	<h2>4. ワークフローテンプレート管理</h2>	admin_manual.admin_manual.l308	P1
admin-manual	views/help/admin_manual.php:311	<p>ワークフローテンプレート管理では、各種申請書のフォーマットと承認ルートを設定することができます。</p>	admin_manual.admin_manual.l311	P1
admin-manual	views/help/admin_manual.php:313	<h4>テンプレートの作成</h4>	admin_manual.admin_manual.l313	P1
admin-manual	views/help/admin_manual.php:314	<div class="manual-step"><span class="manual-step-num">1</span><span class="manual-step-text">管理者メニューから「ワークフロー管理」を選択してください。</span></div>	admin_manual.admin_manual.l314	P1
admin-manual	views/help/admin_manual.php:315	<div class="manual-step"><span class="manual-step-num">2</span><span class="manual-step-text">「新規テンプレート作成」ボタンをクリックしてください。</span></div>	admin_manual.admin_manual.l315	P1
admin-manual	views/help/admin_manual.php:316	<div class="manual-step"><span class="manual-step-num">3</span><span class="manual-step-text">テンプレート名と説明を入力してください。</span></div>	admin_manual.admin_manual.l316	P1
admin-manual	views/help/admin_manual.php:317	<div class="manual-step"><span class="manual-step-num">4</span><span class="manual-step-text">申請フォームの項目（テキスト入力、日付、金額、テキストエリアなど）を設定してください。</span></div>	admin_manual.admin_manual.l317	P1
admin-manual	views/help/admin_manual.php:318	<div class="manual-step"><span class="manual-step-num">5</span><span class="manual-step-text">「保存」をクリックして登録を完了してください。</span></div>	admin_manual.admin_manual.l318	P1
admin-manual	views/help/admin_manual.php:320	<h4>承認ルートの設定</h4>	admin_manual.admin_manual.l320	P1
admin-manual	views/help/admin_manual.php:321	<p>各テンプレートに対して、承認ルート（承認者の順序）を設定できます。</p>	admin_manual.admin_manual.l321	P1
admin-manual	views/help/admin_manual.php:323	<li><strong>承認ステップ</strong>：承認者を順番に設定します。第 1 承認者、第 2 承認者...のように複数段階を設定できます。</li>	admin_manual.admin_manual.l323	P1
admin-manual	views/help/admin_manual.php:324	<li><strong>承認者の指定方法</strong>：特定のユーザーを指定するか、「申請者の上長」などの動的な指定が可能です。</li>	admin_manual.admin_manual.l324	P1
admin-manual	views/help/admin_manual.php:327	<h4>テンプレートの編集・無効化</h4>	admin_manual.admin_manual.l327	P1
admin-manual	views/help/admin_manual.php:328	<p>既存のテンプレートは編集が可能です。既に使用されているテンプレートを削除するのではなく、ステータスを「無効」に変更していただくことを推奨いたします。これにより、過去の申請データは保持されます。</p>	admin_manual.admin_manual.l328	P1
admin-manual	views/help/admin_manual.php:331	<strong><i class="fas fa-lightbulb me-1"></i>ヒント：</strong>	admin_manual.admin_manual.l331	P1
admin-manual	views/help/admin_manual.php:332	よく使用される申請書（休暇届、経費精算、出張申請など）のテンプレートをあらかじめ作成しておくと、ユーザーがスムーズに申請を行えます。	admin_manual.admin_manual.l332	P1
admin-manual	views/help/admin_manual.php:343	<h2>5. 施設管理</h2>	admin_manual.admin_manual.l343	P1
admin-manual	views/help/admin_manual.php:346	<p>施設管理では、会議室やプロジェクター等の共有設備を登録し、ユーザーが予約できるように設定します。</p>	admin_manual.admin_manual.l346	P1
admin-manual	views/help/admin_manual.php:348	<h4>施設の追加</h4>	admin_manual.admin_manual.l348	P1
admin-manual	views/help/admin_manual.php:349	<div class="manual-step"><span class="manual-step-num">1</span><span class="manual-step-text">管理者メニューから「施設管理」を選択してください。</span></div>	admin_manual.admin_manual.l349	P1
admin-manual	views/help/admin_manual.php:350	<div class="manual-step"><span class="manual-step-num">2</span><span class="manual-step-text">「新規施設追加」ボタンをクリックしてください。</span></div>	admin_manual.admin_manual.l350	P1
admin-manual	views/help/admin_manual.php:351	<div class="manual-step"><span class="manual-step-num">3</span><span class="manual-step-text">施設名、説明（定員数や設備情報など）を入力してください。</span></div>	admin_manual.admin_manual.l351	P1
admin-manual	views/help/admin_manual.php:352	<div class="manual-step"><span class="manual-step-num">4</span><span class="manual-step-text">「保存」をクリックして登録を完了してください。</span></div>	admin_manual.admin_manual.l352	P1
admin-manual	views/help/admin_manual.php:354	<h4>施設の編集・削除</h4>	admin_manual.admin_manual.l354	P1
admin-manual	views/help/admin_manual.php:355	<p>施設一覧から対象の施設の「編集」ボタンで情報を更新できます。「削除」ボタンで施設を削除できますが、予約済みのデータがある場合はご注意ください。</p>	admin_manual.admin_manual.l355	P1
admin-manual	views/help/admin_manual.php:358	<strong><i class="fas fa-info-circle me-1"></i>情報：</strong>	admin_manual.admin_manual.l358	P1
admin-manual	views/help/admin_manual.php:359	登録された施設は、スケジュール登録時に「施設予約」として選択可能になります。施設の重複予約は自動的に防止されます。	admin_manual.admin_manual.l359	P1
admin-manual	views/help/admin_manual.php:370	<h2>6. 掲示板カテゴリ管理</h2>	admin_manual.admin_manual.l370	P1
admin-manual	views/help/admin_manual.php:373	<p>掲示板のカテゴリを管理することで、投稿を分類し、情報を整理できます。</p>	admin_manual.admin_manual.l373	P1
admin-manual	views/help/admin_manual.php:375	<h4>カテゴリの追加</h4>	admin_manual.admin_manual.l375	P1
admin-manual	views/help/admin_manual.php:376	<div class="manual-step"><span class="manual-step-num">1</span><span class="manual-step-text">管理者メニューから「掲示板カテゴリ管理」を選択してください。</span></div>	admin_manual.admin_manual.l376	P1
admin-manual	views/help/admin_manual.php:377	<div class="manual-step"><span class="manual-step-num">2</span><span class="manual-step-text">「新規カテゴリ追加」ボタンをクリックしてください。</span></div>	admin_manual.admin_manual.l377	P1
admin-manual	views/help/admin_manual.php:378	<div class="manual-step"><span class="manual-step-num">3</span><span class="manual-step-text">カテゴリ名と表示順を設定してください。</span></div>	admin_manual.admin_manual.l378	P1
admin-manual	views/help/admin_manual.php:379	<div class="manual-step"><span class="manual-step-num">4</span><span class="manual-step-text">「保存」をクリックして登録を完了してください。</span></div>	admin_manual.admin_manual.l379	P1
admin-manual	views/help/admin_manual.php:381	<h4>カテゴリの運用例</h4>	admin_manual.admin_manual.l381	P1
admin-manual	views/help/admin_manual.php:385	<th style="width: 180px;">カテゴリ名</th>	admin_manual.admin_manual.l385	P1
admin-manual	views/help/admin_manual.php:386	<th>用途の例</th>	admin_manual.admin_manual.l386	P1
admin-manual	views/help/admin_manual.php:390	<tr><td><strong>お知らせ</strong></td><td>全社向けの公式なお知らせ・通達</td></tr>	admin_manual.admin_manual.l390	P1
admin-manual	views/help/admin_manual.php:391	<tr><td><strong>総務からの連絡</strong></td><td>総務部門からの事務連絡</td></tr>	admin_manual.admin_manual.l391	P1
admin-manual	views/help/admin_manual.php:392	<tr><td><strong>IT サポート</strong></td><td>システムメンテナンス情報や IT 関連の案内</td></tr>	admin_manual.admin_manual.l392	P1
admin-manual	views/help/admin_manual.php:393	<tr><td><strong>社内イベント</strong></td><td>懇親会・研修などのイベント告知</td></tr>	admin_manual.admin_manual.l393	P1
admin-manual	views/help/admin_manual.php:394	<tr><td><strong>自由掲示板</strong></td><td>社員間の自由なコミュニケーション</td></tr>	admin_manual.admin_manual.l394	P1
admin-manual	views/help/admin_manual.php:399	<strong><i class="fas fa-lightbulb me-1"></i>ヒント：</strong>	admin_manual.admin_manual.l399	P1
admin-manual	views/help/admin_manual.php:400	カテゴリは利用開始前にあらかじめ設定しておくと、ユーザーがすぐに掲示板を活用できます。	admin_manual.admin_manual.l400	P1
admin-manual	views/help/admin_manual.php:411	<h2>7. システム設定</h2>	admin_manual.admin_manual.l411	P1
admin-manual	views/help/admin_manual.php:414	<p>システム設定画面では、アプリケーション全体に関わる設定を行うことができます。</p>	admin_manual.admin_manual.l414	P1
admin-manual	views/help/admin_manual.php:416	<h4>アプリケーション名</h4>	admin_manual.admin_manual.l416	P1
admin-manual	views/help/admin_manual.php:417	<p>画面上部のヘッダーやログイン画面に表示されるアプリケーション名を設定できます。会社名やサービス名など、ご自由に変更いただけます。</p>	admin_manual.admin_manual.l417	P1
admin-manual	views/help/admin_manual.php:419	<h4>会社名</h4>	admin_manual.admin_manual.l419	P1
admin-manual	views/help/admin_manual.php:420	<p>各種帳票やフッターに表示される会社名を設定できます。</p>	admin_manual.admin_manual.l420	P1
admin-manual	views/help/admin_manual.php:422	<h4>メール設定（SMTP）</h4>	admin_manual.admin_manual.l422	P1
admin-manual	views/help/admin_manual.php:423	<p>通知メールを送信するためのメールサーバー設定を行います。</p>	admin_manual.admin_manual.l423	P1
admin-manual	views/help/admin_manual.php:427	<th style="width: 180px;">設定項目</th>	admin_manual.admin_manual.l427	P1
admin-manual	views/help/admin_manual.php:428	<th>説明</th>	admin_manual.admin_manual.l428	P1
admin-manual	views/help/admin_manual.php:432	<tr><td><strong>SMTP ホスト</strong></td><td>メールサーバーのホスト名（例：<code>smtp.gmail.com</code>）</td></tr>	admin_manual.admin_manual.l432	P1
admin-manual	views/help/admin_manual.php:433	<tr><td><strong>SMTP ポート</strong></td><td>ポート番号（例：<code>587</code> for TLS, <code>465</code> for SSL）</td></tr>	admin_manual.admin_manual.l433	P1
admin-manual	views/help/admin_manual.php:434	<tr><td><strong>SMTP ユーザー名</strong></td><td>メールサーバーの認証ユーザー名</td></tr>	admin_manual.admin_manual.l434	P1
admin-manual	views/help/admin_manual.php:435	<tr><td><strong>SMTP パスワード</strong></td><td>メールサーバーの認証パスワード</td></tr>	admin_manual.admin_manual.l435	P1
admin-manual	views/help/admin_manual.php:436	<tr><td><strong>送信元アドレス</strong></td><td>通知メールの送信元として表示されるアドレス</td></tr>	admin_manual.admin_manual.l436	P1
admin-manual	views/help/admin_manual.php:437	<tr><td><strong>送信元名</strong></td><td>通知メールの送信者名</td></tr>	admin_manual.admin_manual.l437	P1
admin-manual	views/help/admin_manual.php:438	<tr><td><strong>暗号化方式</strong></td><td><code>TLS</code>（推奨）または <code>SSL</code></td></tr>	admin_manual.admin_manual.l438	P1
admin-manual	views/help/admin_manual.php:443	<strong><i class="fas fa-lightbulb me-1"></i>ヒント：</strong>	admin_manual.admin_manual.l443	P1
admin-manual	views/help/admin_manual.php:444	Gmail を SMTP サーバーとしてご利用になる場合は、Google アカウントの「アプリパスワード」を生成してご使用ください。通常のアカウントパスワードでは認証できない場合がございます。	admin_manual.admin_manual.l444	P1
admin-manual	views/help/admin_manual.php:447	<h4>その他の設定</h4>	admin_manual.admin_manual.l447	P1
admin-manual	views/help/admin_manual.php:449	<li><strong>タイムゾーン</strong>：システムの標準タイムゾーンを設定できます（デフォルト：<code>Asia/Tokyo</code>）</li>	admin_manual.admin_manual.l449	P1
admin-manual	views/help/admin_manual.php:450	<li><strong>1ページあたりの表示件数</strong>：一覧画面のページネーション設定</li>	admin_manual.admin_manual.l450	P1
admin-manual	views/help/admin_manual.php:451	<li><strong>ファイルアップロード上限</strong>：アップロード可能なファイルサイズの上限</li>	admin_manual.admin_manual.l451	P1
admin-manual	views/help/admin_manual.php:462	<h2>8. CSV 一括インポート</h2>	admin_manual.admin_manual.l462	P1
admin-manual	views/help/admin_manual.php:465	<p>CSV ファイルを使用して、ユーザーや組織を一括登録することができます。大量のデータを効率的に登録する際にご利用ください。</p>	admin_manual.admin_manual.l465	P1
admin-manual	views/help/admin_manual.php:467	<h4>ユーザーの CSV インポート</h4>	admin_manual.admin_manual.l467	P1
admin-manual	views/help/admin_manual.php:468	<div class="manual-step"><span class="manual-step-num">1</span><span class="manual-step-text">管理者メニューから「CSV インポート」を選択してください。</span></div>	admin_manual.admin_manual.l468	P1
admin-manual	views/help/admin_manual.php:469	<div class="manual-step"><span class="manual-step-num">2</span><span class="manual-step-text">「ユーザーインポート」タブを選択してください。</span></div>	admin_manual.admin_manual.l469	P1
admin-manual	views/help/admin_manual.php:470	<div class="manual-step"><span class="manual-step-num">3</span><span class="manual-step-text">サンプル CSV をダウンロードし、フォーマットに従ってデータを入力してください。</span></div>	admin_manual.admin_manual.l470	P1
admin-manual	views/help/admin_manual.php:471	<div class="manual-step"><span class="manual-step-num">4</span><span class="manual-step-text">CSV ファイルを選択し、「インポート」ボタンをクリックしてください。</span></div>	admin_manual.admin_manual.l471	P1
admin-manual	views/help/admin_manual.php:473	<h4>ユーザー CSV のフォーマット</h4>	admin_manual.admin_manual.l473	P1
admin-manual	views/help/admin_manual.php:475	<button class="copy-btn" onclick="copyCode(this)"><i class="fas fa-copy me-1"></i>コピー</button>	admin_manual.admin_manual.l475	P1
admin-manual	views/help/admin_manual.php:477	user001,password123,山田太郎,yamada@example.com,user	admin_manual.admin_manual.l477	P1
admin-manual	views/help/admin_manual.php:478	user002,password456,鈴木花子,suzuki@example.com,user	admin_manual.admin_manual.l478	P1
admin-manual	views/help/admin_manual.php:479	admin002,adminpass,佐藤管理者,sato@example.com,admin</pre>	admin_manual.admin_manual.l479	P1
admin-manual	views/help/admin_manual.php:482	<h4>組織の CSV インポート</h4>	admin_manual.admin_manual.l482	P1
admin-manual	views/help/admin_manual.php:483	<div class="manual-step"><span class="manual-step-num">1</span><span class="manual-step-text">「組織インポート」タブを選択してください。</span></div>	admin_manual.admin_manual.l483	P1
admin-manual	views/help/admin_manual.php:484	<div class="manual-step"><span class="manual-step-num">2</span><span class="manual-step-text">サンプル CSV をダウンロードし、フォーマットに従ってデータを入力してください。</span></div>	admin_manual.admin_manual.l484	P1
admin-manual	views/help/admin_manual.php:485	<div class="manual-step"><span class="manual-step-num">3</span><span class="manual-step-text">CSV ファイルを選択し、「インポート」ボタンをクリックしてください。</span></div>	admin_manual.admin_manual.l485	P1
admin-manual	views/help/admin_manual.php:487	<h4>組織 CSV のフォーマット</h4>	admin_manual.admin_manual.l487	P1
admin-manual	views/help/admin_manual.php:489	<button class="copy-btn" onclick="copyCode(this)"><i class="fas fa-copy me-1"></i>コピー</button>	admin_manual.admin_manual.l489	P1
admin-manual	views/help/admin_manual.php:491	営業部,,1	admin_manual.admin_manual.l491	P1
admin-manual	views/help/admin_manual.php:492	営業第一課,営業部,1	admin_manual.admin_manual.l492	P1
admin-manual	views/help/admin_manual.php:493	営業第二課,営業部,2	admin_manual.admin_manual.l493	P1
admin-manual	views/help/admin_manual.php:494	開発部,,2	admin_manual.admin_manual.l494	P1
admin-manual	views/help/admin_manual.php:495	システム開発課,開発部,1</pre>	admin_manual.admin_manual.l495	P1
admin-manual	views/help/admin_manual.php:499	<strong><i class="fas fa-exclamation-triangle me-1"></i>注意：</strong>	admin_manual.admin_manual.l499	P1
admin-manual	views/help/admin_manual.php:500	CSV ファイルの文字コードは <strong>UTF-8</strong> をご使用ください。Excel で編集された場合、Shift_JIS で保存されることがありますのでご注意ください。「名前を付けて保存」から「CSV UTF-8」形式を選択してください。	admin_manual.admin_manual.l500	P1
admin-manual	views/help/admin_manual.php:504	<strong><i class="fas fa-lightbulb me-1"></i>ヒント：</strong>	admin_manual.admin_manual.l504	P1
admin-manual	views/help/admin_manual.php:505	インポート前にサンプル CSV をダウンロードし、そのフォーマットに合わせてデータを作成すると、エラーを防ぐことができます。	admin_manual.admin_manual.l505	P1
admin-manual	views/help/admin_manual.php:516	<h2>9. バックアップと復元</h2>	admin_manual.admin_manual.l516	P1
admin-manual	views/help/admin_manual.php:519	<p>データの安全性を確保するため、定期的なバックアップを行ってください。</p>	admin_manual.admin_manual.l519	P1
admin-manual	views/help/admin_manual.php:521	<h4>データベースのバックアップ</h4>	admin_manual.admin_manual.l521	P1
admin-manual	views/help/admin_manual.php:522	<p><code>mysqldump</code> コマンドを使用して、データベース全体をバックアップできます。</p>	admin_manual.admin_manual.l522	P1
admin-manual	views/help/admin_manual.php:524	<button class="copy-btn" onclick="copyCode(this)"><i class="fas fa-copy me-1"></i>コピー</button>	admin_manual.admin_manual.l524	P1
admin-manual	views/help/admin_manual.php:528	<h4>アップロードファイルのバックアップ</h4>	admin_manual.admin_manual.l528	P1
admin-manual	views/help/admin_manual.php:529	<p>ユーザーがアップロードしたファイルもバックアップ対象に含めてください。</p>	admin_manual.admin_manual.l529	P1
admin-manual	views/help/admin_manual.php:531	<button class="copy-btn" onclick="copyCode(this)"><i class="fas fa-copy me-1"></i>コピー</button>	admin_manual.admin_manual.l531	P1
admin-manual	views/help/admin_manual.php:535	<h4>設定ファイルのバックアップ</h4>	admin_manual.admin_manual.l535	P1
admin-manual	views/help/admin_manual.php:537	<button class="copy-btn" onclick="copyCode(this)"><i class="fas fa-copy me-1"></i>コピー</button>	admin_manual.admin_manual.l537	P1
admin-manual	views/help/admin_manual.php:541	<h4>復元手順</h4>	admin_manual.admin_manual.l541	P1
admin-manual	views/help/admin_manual.php:542	<div class="manual-step"><span class="manual-step-num">1</span><span class="manual-step-text">アプリケーションファイルを再配置してください（Git clone またはバックアップから復元）。</span></div>	admin_manual.admin_manual.l542	P1
admin-manual	views/help/admin_manual.php:543	<div class="manual-step"><span class="manual-step-num">2</span><span class="manual-step-text"><code>config/database.php</code> を復元してください。</span></div>	admin_manual.admin_manual.l543	P1
admin-manual	views/help/admin_manual.php:544	<div class="manual-step"><span class="manual-step-num">3</span><span class="manual-step-text">データベースを復元してください。</span></div>	admin_manual.admin_manual.l544	P1
admin-manual	views/help/admin_manual.php:545	<div class="manual-step"><span class="manual-step-num">4</span><span class="manual-step-text">アップロードファイルを復元してください。</span></div>	admin_manual.admin_manual.l545	P1
admin-manual	views/help/admin_manual.php:548	<button class="copy-btn" onclick="copyCode(this)"><i class="fas fa-copy me-1"></i>コピー</button>	admin_manual.admin_manual.l548	P1
admin-manual	views/help/admin_manual.php:554	<strong><i class="fas fa-info-circle me-1"></i>情報：</strong>	admin_manual.admin_manual.l554	P1
admin-manual	views/help/admin_manual.php:555	定期的な自動バックアップには、<code>cron</code> の設定をお勧めいたします。例えば、毎日深夜にバックアップを実行するスケジュールを設定できます。	admin_manual.admin_manual.l555	P1
admin-manual	views/help/admin_manual.php:558	<h4>自動バックアップの cron 設定例</h4>	admin_manual.admin_manual.l558	P1
admin-manual	views/help/admin_manual.php:560	<button class="copy-btn" onclick="copyCode(this)"><i class="fas fa-copy me-1"></i>コピー</button>	admin_manual.admin_manual.l560	P1
admin-manual	views/help/admin_manual.php:561	<pre style="margin:0;white-space:pre-wrap;"># 毎日午前2時にデータベースバックアップを実行	admin_manual.admin_manual.l561	P1
admin-manual	views/help/admin_manual.php:564	# 7日以上前のバックアップを自動削除	admin_manual.admin_manual.l564	P1
admin-manual	views/help/admin_manual.php:576	<h2>10. セキュリティ設定の推奨事項</h2>	admin_manual.admin_manual.l576	P1
admin-manual	views/help/admin_manual.php:579	<p>システムの安全な運用のため、以下のセキュリティ対策を実施されることを強くお勧めいたします。</p>	admin_manual.admin_manual.l579	P1
